no,type,Word,Sub_Type,Type2,Type3,wildcard,Comment,sort,multiword,duplicate,regex_matches,word_copy,word_en
13,,(.*)arbeitend(e|er|en|em) bÃ¼rger(s|n|innen|in)?,arbeitende menschen,advocative,people-centrism,regex,,arbeitendeerenembÃ¼rgersninnenin,TRUE,FALSE,15,(.*)arbeitend(e|er|en|em) bÃ¼rger(s|n|innen|in)?,(.*)working citizen(s)?
14,,arrogant(e|er|es|en|em)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,,arroganteeresenem,FALSE,FALSE,82,arrogant(e|er|es|en|em)?,arrogant?
15,substantive,arroganz,zzz_none,conflictive,anti-elitism,none,,arroganz,FALSE,FALSE,133,arroganz,arrogance
16,,auf kosten der allgemeinheit,auf kosten der menschen,conflictive,anti-elitism,none,,aufkostenderallgemeinheit,TRUE,FALSE,21,auf kosten der allgemeinheit,at the expense of the general public
17,,auf kosten de(s|r) beschÃ¤ftigten,auf kosten der menschen,conflictive,anti-elitism,regex,,aufkostendesrbeschÃ¤ftigten,TRUE,FALSE,14,auf kosten de(s|r) beschÃ¤ftigten,at the expense of the employees
18,,auf kosten de(s|r) bÃ¼rger(s|innen|in)?,auf kosten der menschen,conflictive,anti-elitism,regex,,aufkostendesrbÃ¼rgersinnenin,TRUE,FALSE,19,auf kosten de(s|r) bÃ¼rger(s|innen|in)?,at the expense of the citizens?
19,,auf kosten de(s|r) deutsche(n|r),auf kosten der menschen,conflictive,anti-elitism,regex,,aufkostendesrdeutschenr,TRUE,FALSE,21,auf kosten de(s|r) deutsche(n|r),at the expense of the Germans
20,,auf kosten de(s|r) Ã¶sterreich(er|ers|erinnen|erin|ischer|ischen),auf kosten der menschen,conflictive,anti-elitism,regex,very rare terms,aufkostendesrÃ¶sterreichererserinnenerinischerischen,TRUE,FALSE,10,auf kosten de(s|r) Ã¶sterreich(er|ers|erinnen|erin|ischer|ischen),at the expense of the Austrians
21,,b(a|Ã¤)nk(i)?er(.*),zzz_none,conflictive,anti-elitism,regex,very rare terms,baÃ¤nkier,FALSE,FALSE,95,b(a|Ã¤)nk(i)?er(.*),b(a|Ã¤)nk(i)?er(.*)
22,verb,belehre(n|t)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,,belehrent,FALSE,FALSE,28,,instruct(n|t)?
23,substantive,(.*)belehrung(en)?(.*),"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,,belehrungen,FALSE,FALSE,30,,(.*)instruction(s)?(.*)
24,,berufspolitiker(s|n|innen|in)?,zzz_none,conflictive,anti-elitism,regex,,berufspolitikersninnenin,FALSE,FALSE,30,berufspolitiker(s|n|innen|in)?,professional politician(s)?
25,,bevÃ¶lkerung (.* )?wei(ÃŸ|ss),common sense,advocative,people-centrism,regex,,bevÃ¶lkerungweiÃŸss,TRUE,FALSE,13,bevÃ¶lkerung (.* )?wei(ÃŸ|ss),population (.* )?white(ÃŸ|ss)
26,verb,bevormunde(t|n),zzz_none,conflictive,anti-elitism,regex,,bevormundetn,FALSE,FALSE,55,bevormunde(t|n),patronize(t|n)
27,,bonze(.*),zzz_none,conflictive,anti-elitism,regex,,bonze,FALSE,FALSE,31,bonze(.*),bonze(.*)
28,actor elite,bosse(n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,,bossen,FALSE,FALSE,36,,boss(es)?
29,adjective,bÃ¼rgerfern(e|er|es|en|em)?,zzz_none,conflictive,anti-elitism,regex,,bÃ¼rgerferneeresenem,FALSE,FALSE,30,bÃ¼rgerfern(e|er|es|en|em)?,far from citizens?
30,,bÃ¼rger(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat),menschen reicht es,advocative,people-centrism,regex,,bÃ¼rgerinnenindienasedieschnauzesattgenugdickehabenhat,TRUE,FALSE,9,bÃ¼rger(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat),citizens? (.* )?(the nose|the snout|fed up|enough|thick)( .*)? (have|has)
31,,bÃ¼rger(innen|in)? (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism,regex,,bÃ¼rgerinneninhabenhatdienasedieschnauzesattgenugdicke,TRUE,FALSE,13,bÃ¼rger(innen|in)? (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),citizens? (have|has) (.* )?(the nose|the snout|fed up|enough|thick)
32,,bÃ¼rger(innen|in)? (.* )?(will|(ein)?fordert|mÃ¶chte|mag|verlangt|beansprucht|wÃ¼nscht),volkswille,advocative,sovereignty,regex,,bÃ¼rgerinneninwilleinfordertmÃ¶chtemagverlangtbeanspruchtwÃ¼nscht,TRUE,FALSE,109,bÃ¼rger(innen|in)? (.* )?(will|(ein)?fordert|mÃ¶chte|mag|verlangt|beansprucht|wÃ¼nscht),citizen(s)? (.* )?(wants|(a)?demands|wants|likes|requires|claims|wishes)
33,,bÃ¼rger(innen|in)? (.* )?(wollen|(ein)?fordern|mÃ¶chten|mÃ¶gen|verlangen|beanspruchen|wÃ¼nschen),volkswille,advocative,sovereignty,regex,,bÃ¼rgerinneninwolleneinfordernmÃ¶chtenmÃ¶genverlangenbeanspruchenwÃ¼nschen,TRUE,FALSE,197,bÃ¼rger(innen|in)? (.* )?(wollen|(ein)?fordern|mÃ¶chten|mÃ¶gen|verlangen|beanspruchen|wÃ¼nschen),citizens? (.* )?(want|(a)?demand|would like|like|require|claim|wish)
34,,bÃ¼rger(s|n|innen|in)? (von|auf) der stra(ÃŸ|ss)e,normale menschen,advocative,people-centrism,regex,,bÃ¼rgersninneninvonaufderstraÃŸsse,TRUE,FALSE,6,bÃ¼rger(s|n|innen|in)? (von|auf) der stra(ÃŸ|ss)e,citizens? (from|on) the street
35,,bÃ¼rgerwille(n|ns)?,volkswille,advocative,sovereignty,regex,,bÃ¼rgerwillenns,FALSE,FALSE,25,bÃ¼rgerwille(n|ns)?,citizens' will(s)?
36,,bÃ¼rokrat(en|in|innen)?,elitenbezug,conflictive,anti-elitism,regex,,bÃ¼rokratenininnen,FALSE,FALSE,79,bÃ¼rokrat(en|in|innen)?,bureaucrat(s)?
37,,(.*)desaster(s)?,zzz_none,conflictive,anti-elitism,regex,,desasters,FALSE,FALSE,431,(.*)desaster(s)?,(.*)disaster(s)?
38,,deutsche(n|r)? tradition(en)?,zzz_none,advocative,people-centrism,regex,rechts?,deutschenrtraditionen,TRUE,FALSE,6,deutsche(n|r)? tradition(en)?,German(s)? tradition(s)?
39,substantive,diktat(e|s|es)?,zzz_none,conflictive,sovereignty,regex,,diktateses,FALSE,FALSE,146,diktat(e|s|es)?,dictation(s|e|s)?
40,adjective,dilettantisch(e|er|es|en|em)?,zzz_none,conflictive,anti-elitism,regex,,dilettantischeeresenem,FALSE,FALSE,43,dilettantisch(e|er|es|en|em)?,amateurish?
41,substantive,dilettantismus,zzz_none,conflictive,anti-elitism,none,,dilettantismus,FALSE,FALSE,30,dilettantismus,amateurism
42,,direkt(e|er)? demokratie,direkte demokratie,advocative,sovereignty,regex,,direkteerdemokratie,TRUE,FALSE,449,direkt(e|er)? demokratie,direct? democracy
43,adjective,dreist(e|er|es|en|em)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,,dreisteeresenem,FALSE,FALSE,256,dreist(e|er|es|en|em)?,bold(er|more|more)?
44,,durchschnittlich(e|er|es|en|em) deutsche(n|r|s|m)?,normale menschen,advocative,people-centrism,regex,,durchschnittlicheeresenemdeutschenrsm,TRUE,FALSE,4,durchschnittlich(e|er|es|en|em) deutsche(n|r|s|m)?,average German?
45,,durchschnittlich(e|er|es|en|em) Ã¶sterreich(er|ers|ern|erinnen|erin|ische|ischer|isches|ischen|ischem),normale menschen,advocative,people-centrism,regex,,durchschnittlicheeresenemÃ¶sterreicherersernerinnenerinischeischerischesischenischem,TRUE,FALSE,4,durchschnittlich(e|er|es|en|em) Ã¶sterreich(er|ers|ern|erinnen|erin|ische|ischer|isches|ischen|ischem),average Austrian
46,,durchschnitts(-)?bÃ¼rger(s|n|innen|in)?,normale menschen,advocative,people-centrism,regex,,durchschnittsbÃ¼rgersninnenin,FALSE,FALSE,13,durchschnitts(-)?bÃ¼rger(s|n|innen|in)?,average?citizen(s)?
47,,durchschnitts(-)?deutsche(n|r|s|m)?,normale menschen,advocative,people-centrism,regex,,durchschnittsdeutschenrsm,FALSE,FALSE,11,durchschnitts(-)?deutsche(n|r|s|m)?,average(-)?german(s|n|r|s|m)?
48,,einfach(e|er|en|em) bÃ¼rger(s|n|innen|in)?,normale menschen,advocative,people-centrism,regex,,einfacheerenembÃ¼rgersninnenin,TRUE,FALSE,29,einfach(e|er|en|em) bÃ¼rger(s|n|innen|in)?,simple citizen(s)?
49,,elfenbeinturm,zzz_none,conflictive,anti-elitism,none,,elfenbeinturm,FALSE,FALSE,21,elfenbeinturm,ivory tower
50,,(.*)elite(n)?,elitenbezug,conflictive,anti-elitism,regex,,eliten,FALSE,FALSE,437,(.*)elite(n)?,(.*)elite(s)?
51,,empÃ¶rung de(s|r),Ã¤rger der menschen,conflictive,anti-elitism,regex,not useful?,empÃ¶rungdesr,TRUE,FALSE,10,empÃ¶rung de(s|r),outrage of the
52,,erdreiste(t|n),"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,,erdreistetn,FALSE,FALSE,21,erdreiste(t|n),audacious(t|n)
53,,(es|das|dies) (.* )?bÃ¼rger(n|innen|in)? (.* )?(langt|reicht),menschen reicht es,advocative,people-centrism,regex,,esdasdiesbÃ¼rgerninneninlangtreicht,TRUE,FALSE,4,(es|das|dies) (.* )?bÃ¼rger(n|innen|in)? (.* )?(langt|reicht),(it|that|this) (.* )?citizen(s)? (.* )?(is enough)
54,,(.*)establishment(s)?,elitenbezug,conflictive,anti-elitism,regex,,establishments,FALSE,FALSE,108,(.*)establishment(s)?,(.*)establishment(s)?
55,,etabliert(e|er|en) ([^[:space:]]*)partei(en)?,zzz_none,conflictive,anti-elitism,regex,,etablierteeren[^[:space:]]parteien,TRUE,FALSE,193,etabliert(e|er|en) ([^[:space:]]*)partei(en)?,established ([^[:space:]]*)party(s)?
56,,eurokrat(.*),zzz_none,conflictive,anti-elitism,regex,,eurokrat,FALSE,FALSE,51,eurokrat(.*),eurocrat(.*)
57,,fÃ¤lschlich(erweise)?( (fÃ¼r|als)( eine(n)?)?)?,pseudo-eliten,conflictive,anti-elitism,regex,,fÃ¤lschlicherweisefÃ¼ralseinen,TRUE,FALSE,52,fÃ¤lschlich(erweise)?( (fÃ¼r|als)( eine(n)?)?)?,falsely?( (for|as)( a?)?)?
58,,filz,zzz_none,conflictive,anti-elitism,none,,filz,FALSE,FALSE,169,filz,felt
59,,finan(c|z)ier(s|e)?,zzz_none,conflictive,anti-elitism,regex,,financzierse,FALSE,FALSE,43,finan(c|z)ier(s|e)?,finan(c|z)ier(s|e)?
60,substantive,frechheit,zzz_none,conflictive,anti-elitism,none,,frechheit,FALSE,FALSE,113,frechheit,impudence
61,,fremdherrschaft,zzz_none,conflictive,anti-elitism,none,,fremdherrschaft,FALSE,FALSE,8,fremdherrschaft,foreign rule
62,actor elite,frÃ¼hstÃ¼cksdirektor(s|en|innen|in)?,zzz_none,conflictive,anti-elitism,regex,,frÃ¼hstÃ¼cksdirektorseninnenin,FALSE,FALSE,6,frÃ¼hstÃ¼cksdirektor(s|en|innen|in)?,breakfast director(s)?
63,,fÃ¼r (das|unser) (.* )?volk,for the people,advocative,sovereignty,regex,,fÃ¼rdasunservolk,TRUE,FALSE,63,fÃ¼r (das|unser) (.* )?volk,for (the|our) (.* )?people
64,,fÃ¼r die ([^[:space:]]* )?mehrheit,for the people,advocative,sovereignty,regex,,fÃ¼rdie[^[:space:]]mehrheit,TRUE,FALSE,136,fÃ¼r die ([^[:space:]]* )?mehrheit,for the ([^[:space:]]* )?majority
65,,fÃ¼r (die|unsere) ((kleinen|normalen|einfachen) )?leute,for the people,advocative,sovereignty,regex,,fÃ¼rdieunserekleinennormaleneinfachenleute,TRUE,FALSE,30,,for (the|our) ((small|normal|simple) )?people
66,substantive,gÃ¤ngelung(en)?,zzz_none,conflictive,anti-elitism,regex,,gÃ¤ngelungen,FALSE,FALSE,92,gÃ¤ngelung(en)?,harassment(s)?
67,,gegen (das|unser) ((eigene(s)?|deutsche(s)?|schweizer|schweizerische(s)?|Ã¶sterreichische(s)?) )?volk,against the people,conflictive,anti-elitism,regex,,gegendasunsereigenesdeutschesschweizerschweizerischesÃ¶sterreichischesvolk,TRUE,FALSE,6,,against (our|our own?|German?|Swiss?|Swiss?|Austrian?) )?people
68,,geiselhaft,zzz_none,conflictive,anti-elitism,none,,geiselhaft,FALSE,FALSE,44,geiselhaft,hostage
69,,gemein(e|es|en|em) volk(s|es|e)?,normale menschen,advocative,people-centrism,regex,,gemeineesenemvolksese,TRUE,FALSE,6,gemein(e|es|en|em) volk(s|es|e)?,common people?
70,substantive,geschacher(e)?,zzz_none,conflictive,anti-elitism,regex,,geschachere,FALSE,FALSE,18,geschacher(e)?,haggling(s)?
71,substantive,gesunde(m|n|r)? menschenverstand(s|es)?,zzz_none,advocative,sovereignty,regex,,gesundemnrmenschenverstandses,TRUE,FALSE,140,gesunde(m|n|r)? menschenverstand(s|es)?,common sense?
72,adjective,gierig(e|er|es|en|em)?,korrupte eliten,conflictive,anti-elitism,regex,,gierigeeresenem,TRUE,FALSE,34,gierig(e|er|es|en|em)?,greedy?
73,,globalist(en|in|innen)?,zzz_none,conflictive,anti-elitism,regex,,globalistenininnen,FALSE,FALSE,10,globalist(en|in|innen)?,globalist(s)?
74,,(grund)?anstÃ¤ndig(e|er|en|em) bÃ¼rger(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism,regex,,grundanstÃ¤ndigeerenembÃ¼rgersninnenin,TRUE,FALSE,7,(grund)?anstÃ¤ndig(e|er|en|em) bÃ¼rger(s|n|innen|in)?,(reason)?decent citizen(s)?
75,,(grund)?anstÃ¤ndig(e|er|es|en|em) mensch(en)?,ehrliche menschen,advocative,people-centrism,regex,,grundanstÃ¤ndigeeresenemmenschen,TRUE,FALSE,12,(grund)?anstÃ¤ndig(e|er|es|en|em) mensch(en)?,(reason)?decent person(s)?
76,,(grund)?vernÃ¼nftig(e|er|es|en|em) mensch(en)?,common sense,advocative,people-centrism,regex,,grundvernÃ¼nftigeeresenemmenschen,TRUE,FALSE,23,(grund)?vernÃ¼nftig(e|er|es|en|em) mensch(en)?,(reason)?reasonable person(s)?
77,,gÃ¼nstling(s|e|en)?,zzz_none,conflictive,anti-elitism,regex,check,gÃ¼nstlingseen,FALSE,FALSE,15,gÃ¼nstling(s|e|en)?,favorite(s)?
78,,(haben|hat) (.* )?bÃ¼rger(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism,regex,,habenhatbÃ¼rgerinnenindienasedieschnauzesattgenugdicke,TRUE,FALSE,7,(haben|hat) (.* )?bÃ¼rger(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke),(have|has) (.* )?citizens? (.* )?(the nose|the snout|fed up|enough|thick)
79,substantive,hausverstand(s|es)?,zzz_none,advocative,sovereignty,none,,hausverstandses,FALSE,FALSE,105,hausverstand(s|es)?,common sense?
80,adjective,hirnverbrannt(e|er|es|en|em)?,zzz_none,conflictive,anti-elitism,regex,,hirnverbrannteeresenem,FALSE,FALSE,57,hirnverbrannt(e|er|es|en|em)?,brain-dead?
81,adjective,hochmÃ¼tig(e|er|es|en|em)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,,hochmÃ¼tigeeresenem,FALSE,FALSE,7,hochmÃ¼tig(e|er|es|en|em)?,arrogant?
82,substantive,irrsinn,zzz_none,conflictive,anti-elitism,none,,irrsinn,FALSE,FALSE,429,irrsinn,madness
83,,irrwitz(.*),zzz_none,conflictive,anti-elitism,regex,,irrwitz,FALSE,FALSE,43,irrwitz(.*),madness(.*)
84,,kanzler(innen)?darsteller(s|n|innen|in)?,zzz_none,conflictive,anti-elitism,regex,,kanzlerinnendarstellersninnenin,FALSE,FALSE,458,kanzler(innen)?darsteller(s|n|innen|in)?,chancellor(s)?actor(s|n|in)?
85,,(.*)kapitalist(en|in|innen)?,elitenbezug,conflictive,anti-elitism,regex,,kapitalistenininnen,FALSE,FALSE,18,(.*)kapitalist(en|in|innen)?,(.*)capitalist(s)?
86,,konzernlobbyist(.*),zzz_none,conflictive,anti-elitism,regex,,konzernlobbyist,FALSE,FALSE,7,konzernlobbyist(.*),corporate lobbyist(.*)
87,,korrumpier(.*),zzz_none,conflictive,anti-elitism,regex,,korrumpier,FALSE,FALSE,12,korrumpier(.*),corrupt(.*)
88,,korrupt(e|er|es|en|em)?,korrupte eliten,conflictive,anti-elitism,regex,,korrupteeresenem,TRUE,FALSE,118,korrupt(e|er|es|en|em)?,corrupt(e|er|it|en|em)?
89,,kreisen,zzz_none,conflictive,anti-elitism,none,,kreisen,FALSE,FALSE,151,kreisen,circle
90,,kuhhandel(s)?,zzz_none,conflictive,anti-elitism,regex,,kuhhandels,FALSE,FALSE,121,kuhhandel(s)?,horse trading(s)?
91,,(.*)kungel(.*),zzz_none,conflictive,anti-elitism,regex,,kungel,FALSE,FALSE,51,(.*)kungel(.*),(.*)kungel(.*)
92,,lebensfern(.*),zzz_none,conflictive,anti-elitism,regex,,lebensfern,FALSE,FALSE,5,lebensfern(.*),far removed from life(.*)
93,,lebensfremd(.*),zzz_none,conflictive,anti-elitism,regex,,lebensfremd,FALSE,FALSE,10,lebensfremd(.*),unrealistic(.*)
94,,lug,zzz_none,conflictive,anti-elitism,none,,lug,FALSE,FALSE,7,lug,lug
95,substantive,machthunger(s)?,zzz_none,conflictive,anti-elitism,regex,,machthungers,FALSE,FALSE,5,machthunger(s)?,hunger for power?
96,,machthungrig(e|er|es|en|em)?,diktatorische eliten,conflictive,sovereignty,regex,,machthungrigeeresenem,TRUE,FALSE,11,machthungrig(e|er|es|en|em)?,power hungry?
97,,machtversessen(e|er|es|en|em)?,diktatorische eliten,conflictive,sovereignty,regex,,machtversesseneeresenem,TRUE,FALSE,8,machtversessen(e|er|es|en|em)?,obsessed with power?
98,substantive,machtversessenheit,zzz_none,conflictive,anti-elitism,none,,machtversessenheit,FALSE,FALSE,6,machtversessenheit,obsession with power
99,,mafia,zzz_none,conflictive,anti-elitism,none,,mafia,FALSE,FALSE,65,mafia,mafia
100,substantive,manipulier(t|en),zzz_none,conflictive,anti-elitism,regex,,manipulierten,FALSE,FALSE,115,manipulier(t|en),manipulate(ing)
101,,ma(ÃŸ|ss)(t|en) (.* )?sich,"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,,maÃŸsstensich,TRUE,FALSE,19,ma(ÃŸ|ss)(t|en) (.* )?sich,measure (.* )?
102,substantive,mauschelei(en|n)?,zzz_none,conflictive,anti-elitism,regex,,mauscheleienn,FALSE,FALSE,26,mauschelei(en|n)?,shenanigans?
103,,mehrheit (der|im|in der|unter den|aller),mehrheit,advocative,sovereignty,regex,,mehrheitderiminderunterdenaller,TRUE,FALSE,944,mehrheit (der|im|in der|unter den|aller),majority (of|in|among|all)
104,,mehrheit (der|unter den|aller) bÃ¼rger(n|innen)?,mehrheit,advocative,sovereignty,regex,,mehrheitderunterdenallerbÃ¼rgerninnen,TRUE,FALSE,32,mehrheit (der|unter den|aller) bÃ¼rger(n|innen)?,majority (of|among|all) citizens?
105,,mehrheit (des|im) volk(s|es|e)?,mehrheit,advocative,sovereignty,regex,,mehrheitdesimvolksese,TRUE,FALSE,6,mehrheit (des|im) volk(s|es|e)?,majority (of|in) the people?
106,,mehrheitsmeinung(en)?,zzz_none,advocative,sovereignty,regex,,mehrheitsmeinungen,FALSE,FALSE,18,mehrheitsmeinung(en)?,majority opinion(s)?
107,adjective,nimmersatt(e|er|es|en|em)?,zzz_none,conflictive,anti-elitism,regex,,nimmersatteeresenem,FALSE,FALSE,17,nimmersatt(e|er|es|en|em)?,insatiable?
108,,nomenklatura,zzz_none,conflictive,anti-elitism,none,,nomenklatura,FALSE,FALSE,5,nomenklatura,nomenclature
109,,normal(e|er|en|em) bÃ¼rger(s|n|innen|in)?,normale menschen,advocative,people-centrism,regex,,normaleerenembÃ¼rgersninnenin,TRUE,FALSE,101,normal(e|er|en|em) bÃ¼rger(s|n|innen|in)?,normal citizen(s)?
110,,normalsterblich(.*),zzz_none,advocative,people-centrism,regex,,normalsterblich,FALSE,FALSE,6,normalsterblich(.*),ordinary mortal(.*)
111,adjective,oberlehrerhaft(e|er|es|en|em)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,,oberlehrerhafteeresenem,FALSE,FALSE,5,,didactic(e|er|es|en|em)?
112,actor elite,oberlehrer(s|n|in|innen|rolle)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,,oberlehrersnininnenrolle,FALSE,FALSE,13,,head teacher(s|n|in|inners|role)?
113,,oberschicht,zzz_none,conflictive,anti-elitism,none,,oberschicht,FALSE,FALSE,6,oberschicht,upper class
114,,ohne (.* )?rÃ¼ckgrat,zzz_none,conflictive,anti-elitism,regex,,ohnerÃ¼ckgrat,TRUE,FALSE,6,ohne (.* )?rÃ¼ckgrat,without (.* )?backbone
115,,opportunist(en|in|innen)?,zzz_none,conflictive,anti-elitism,regex,,opportunistenininnen,FALSE,FALSE,29,opportunist(en|in|innen)?,opportunist(s)?
116,,Ã¶sterreichische(n|r)? tradition(en)?,zzz_none,advocative,people-centrism,regex,,Ã¶sterreichischenrtraditionen,TRUE,FALSE,11,Ã¶sterreichische(n|r)? tradition(en)?,Austrian? tradition(s)?
117,,(.*)partei(en)? (.* )?(be|an)?lÃ¼g(t|en),unaufrichtige eliten,conflictive,anti-elitism,regex,,parteienbeanlÃ¼gten,TRUE,FALSE,14,(.*)partei(en)? (.* )?(be|an)?lÃ¼g(t|en),(.*)party(s)? (.* )?(be|an)?lie(t|en)
118,,(.*)partei(en)?(-)?kartell(.*),zzz_none,conflictive,anti-elitism,regex,,parteienkartell,FALSE,FALSE,25,(.*)partei(en)?(-)?kartell(.*),(.*)party(s)?(-)?cartel(.*)
119,,parteien(-)?system,zzz_none,conflictive,anti-elitism,regex,,parteiensystem,FALSE,FALSE,26,parteien(-)?system,party(-)?system
120,substantive,pfrÃ¼nde,zzz_none,conflictive,anti-elitism,none,,pfrÃ¼nde,FALSE,FALSE,36,pfrÃ¼nde,benefice
121,,plebiszitÃ¤r(e|er|es|en|em)?,direkte demokratie,advocative,sovereignty,regex,,plebiszitÃ¤reeresenem,FALSE,FALSE,5,plebiszitÃ¤r(e|er|es|en|em)?,plebiscitary?
122,,pÃ¶bel(s)?,zzz_none,conflictive,anti-elitism,regex,,pÃ¶bels,FALSE,FALSE,7,pÃ¶bel(s)?,rabble(s)?
123,,politiker(-)?kaste(n)?,zzz_none,conflictive,anti-elitism,regex,,politikerkasten,FALSE,FALSE,7,politiker(-)?kaste(n)?,politicians(-)?caste(s)?
124,,politikversagen(s)?,zzz_none,conflictive,anti-elitism,regex,,politikversagens,FALSE,FALSE,27,politikversagen(s)?,policy failure(s)?
125,,politische(n|m|s)? versagen(s)?,zzz_none,conflictive,anti-elitism,regex,,politischenmsversagens,TRUE,FALSE,18,politische(n|m|s)? versagen(s)?,political(n|m|s)? failure(s)?
126,,politische(r|n)? klasse,zzz_none,conflictive,anti-elitism,regex,,politischernklasse,TRUE,FALSE,33,politische(r|n)? klasse,political? class
127,,politische(r|n|m|s)? kaste(.*),zzz_none,conflictive,anti-elitism,regex,,politischernmskaste,TRUE,FALSE,5,politische(r|n|m|s)? kaste(.*),political(r|n|m|s)? caste(.*)
128,substantive,postengeschacher,zzz_none,conflictive,anti-elitism,none,,postengeschacher,FALSE,FALSE,14,postengeschacher,job-swapping
129,,(prinzipien|gesinnung|Ã¼berzeugung(en)?|grundsÃ¤tze) (Ã¼ber bord w(e|i)rf(en|t)|verr(a|Ã¤)t(en)?|verg(e|i)ss(en|t)|Ã¤nder(t|n)|wechsel(t|n)|tausch(t|en)),zzz_none,conflictive,anti-elitism,regex,,prinzipiengesinnungÃ¼berzeugungengrundsÃ¤tzeÃ¼berbordweirfentverraÃ¤tenvergeissentÃ¤ndertnwechseltntauschten,TRUE,FALSE,6,(prinzipien|gesinnung|Ã¼berzeugung(en)?|grundsÃ¤tze) (Ã¼ber bord w(e|i)rf(en|t)|verr(a|Ã¤)t(en)?|verg(e|i)ss(en|t)|Ã¤nder(t|n)|wechsel(t|n)|tausch(t|en)),(principles|attitude|conviction(s)?|principles) (throw overboard|betray(ed)?|forget(ed)|change(ed)|exchange(ed))
